"Life Regen",生命回复
"Grants Level {0} Purity of Fire Skill","提供 {0} 级火焰净化"
"Grants Level {0} Illusory Warp Skill","获得 {0} 级的幻象传送"
"Grants Level {0} Bear Trap Skill","获得 {0} 级的捕熊陷阱"
"Grants Level {0} Summon Stone Golem Skill","获得 {0} 级的召唤巨石魔像"
"Grants Level {0} Vengeance Skill","获得 {0} 级的复仇"
"Grants Level {0} Despair Skill","获得 {0} 级的主动技能绝望，且可被此道具上的技能石辅助"
"Grants Level {0} Purity of Ice Skill","提供 {0} 级冰霜净化"
"Grants Level {0} Purity of Lightning Skill","提供 {0} 级闪电净化"
"Grants Level {0} Flammability Skill","获得 {0} 级的主动技能易燃，且可被此道具上的技能石辅助"
"Grants Summon Harbinger of the Arcane Skill",获得召唤秘法先驱者
"Grants Summon Harbinger of Time Skill",获得召唤时空先驱者
"Grants Summon Harbinger of Focus Skill",获得召唤不屈先驱者
"Grants Summon Harbinger of Directions Skill",获得召唤射术先驱者
"Grants Summon Harbinger of Storms Skill",获得召唤冰雷先驱者
"Grants Summon Harbinger of Brutality Skill",获得召唤残暴先驱者
"Grants Level {0} Conductivity Skill","获得 {0} 级的主动技能导电，且可被此道具上的技能石辅助"
"Grants Level {0} Frostbite Skill","获得 {0} 级的主动技能冻伤，且可被此道具上的技能石辅助"
"Grants Level {0} Temporal Chains Skill","获得 {0} 级的主动技能时空锁链，且可被此道具上的技能石辅助"
"Grants Level {0} Haste Skill","提供 {0} 级迅捷"
"Has an additional Implicit Mod","拥有 1 个额外的固有词缀"
"Grants Level {0} Clarity Skill","获得 {0} 级的主动技能清晰，且可被此道具上的技能石辅助"
"Grants Level {0} Vitality Skill","获得 {0} 级的主动技能活力，且可被此道具上的技能石辅助"
"Grants Level {0} Purity of Elements Skill","获得 {0} 级的主动技能元素净化，且可被此道具上的技能石辅助"
"Grants Level {0} Gluttony of Elements Skill","获得 {0} 级的主动技能元素之愈"
"Grants Level {0} Assassin's Mark Skill","获得 {0} 级的主动技能暗影印记，且可被此道具上的技能石辅助"
"Grants Level {0} Wrath Skill","提供 {0} 级雷霆"
"Grants Level {0} Hatred Skill","提供 {0} 级憎恨"
"Grants Level {0} Anger Skill","提供 {0} 级愤怒"
"Grants Level {0} Determination Skill","提供 {0} 级坚定"
"Grants Level {0} Grace Skill","提供 {0} 级优雅"
"Grants Level {0} Scorching Ray Skill","提供 {0} 级灼热光线"
"Grants Level {0} Discipline Skill","提供 {0} 级纪律"
"Grants Level {0} Envy Skill","提供 {0} 级嫉妒"
"Grants Level {0} Reckoning Skill","提供 {0} 级清算"
"Grants Level {0} Blight Skill","提供 {0} 级枯萎"
"Grants Level {0} Projectile Weakness Skill","获得 {0} 级的主动技能【投射物要害】，且可被此道具上的技能石辅助"
"Grants Level {0} Elemental Weakness Skill","获得 {0} 级的主动技能元素要害，且可被此道具上的技能石辅助"
"Grants Level {0} Doryani's Touch Skill","获得 {0} 级的主动技能多里亚尼之触，且可被此道具上的技能石辅助"
"Grants Level {0} Vulnerability Skill","获得 {0} 级的主动技能脆弱，且可被此道具上的技能石辅助"
"Grants Level {0} Death Aura Skill","获得 {0} 级【死神光环】"
"Grants Level {0} Icestorm Skill","获得 {0} 级的主动技能冰风暴，且可被此道具上的技能石辅助"
"{0}% chance to Trigger Level {1} Create Lesser Shrine when you Kill an Enemy","击败敌人时有 {0}% 的几率召唤 {1} 级的低阶神殿"
"Trigger Level {0} Consecrate when you deal a Critical Strike","暴击时触发 {0} 级的奉献"
"Trigger Level {0} Shock Ground when Hit","被击中时触发 {0} 级的感电地面"
"Grants Level {0} Petrification Statue Skill","获得 {0} 级的的主动技能召唤石化雕像"
"Triggers Level {0} Blinding Aura when Equipped","装备时触发 {0} 级的主动技能失明光环"
"Grants Level {0} Blood Offering Skill","获得 {0} 级的的主动技能血脉奉献"
"Grants Level {0} Summon Doedre's Effigy Skill","提供 {0} 级召唤德瑞的塑像"
"Socketed Curses are Triggered by Doedre's Effigy when Summoned",召唤【德瑞的塑像】时可以触发插槽内的诅咒
"Socketed Curses ignore Curse Limit",插槽内的诅咒无视诅咒限制
"Grants Level {0} Abyssal Cry Skill","获得 {0} 级的主动技能【深渊战吼】"
"Grants Level {0} Precision Skill","获得 {0} 级的主动技能精准，且可被此道具上的技能石辅助"
"Grants Level {0} Aspect of the Avian Skill","获得 {0} 级的主动技能鸟之势"
"Grants Level {0} Bone Armour Skill","获得 {0} 级的骨制战甲"
"Grants Level {0} Aspect of the Cat Skill","获得 {0} 级的主动技能猫之势"
"Grants Level {0} Aspect of the Crab Skill","获得 {0} 级的主动技能蟹之势"
"Grants Level {0} Decoy Totem Skill","获得 {0} 级的主动技能诱饵图腾"
"Grants Level {0} Enduring Cry Skill","获得 {0} 级的主动技能坚决战吼"
"Grants Level {0} Herald of Ash Skill","获得 {0} 级的主动技能灰烬之捷"
"Grants Level {0} Herald of Ice Skill","获得 {0} 级的主动技能寒冰之捷"
"Grants Level {0} Herald of Thunder Skill","获得 {0} 级的主动技能闪电之捷"
"Grants Level {0} Intimidating Cry Skill","获得 {0} 级的主动技能威吓战吼"
"Grants Level {0} Lightning Warp Skill","提供 {0} 级闪电传送"
"Grants Level {0} Malevolence Skill","提供 {0} 级怨毒光环"
"Grants Level {0} Pride Skill","提供 {0} 级尊严"
"Grants Level {0} Rallying Cry Skill","获得 {0} 级的主动技能激励战吼"
"Grants Level {0} Smite Skill","获得 {0} 级的主动技能惩击"
"Grants Level {0} Aspect of the Spider Skill","获得 {0} 级的主动技能蛛之势"
"Grants Level {0} Vaal Impurity of Fire Skill","获得 {0} 级的主动技能瓦尔火焰净化，且可被此道具上的技能石辅助"
"Grants Level {0} Vaal Impurity of Ice Skill","获得 {0} 级的主动技能瓦尔冰霜净化，且可被此道具上的技能石辅助"
"Grants Level {0} Vaal Impurity of Lightning Skill","获得 {0} 级的主动技能瓦尔闪电净化，且可被此道具上的技能石辅助"
"Grants Level {0} Zealotry Skill","提供 {0} 级奋锐光环"
"Trigger Level {0} Darktongue's Kiss when you Cast a Curse Skill","当你施放诅咒技能时触发 {0} 级的【暗语之吻】"
"Trigger Level {0} Void Gaze when you use a Skill","当你使用技能时触发 {0} 级的虚空凝视"
"Trigger Level {0} Storm Cascade when you Attack","当你攻击时触发 {0} 级的风暴突袭"
"{0}% chance to Trigger Socketed Spells on Killing a Shocked Enemy","击败感电敌人时有 {0}% 的几率触发插槽里的法术"
"Trigger Socketed Minion Spells on Kill with this Weapon",使用该技能击败敌人时触发插入的召唤生物法术
"{0}% chance to Trigger Socketed Minion Spells on Kill with this Weapon","使用该技能击败敌人时有 {0}% 的几率触发插入的召唤生物法术"
"Trigger Socketed Spells when you Spend at least {0} Mana to Use a Skill","使用至少 {0} 魔力施放技能时，触发插槽内的法术"
"{0}% chance to Trigger Socketed Spells when you Spend at least {1} Mana to Use a Skill","使用至少 {1} 魔力施放技能时，有 {0}% 几率触发插槽内的法术"
"{0}% chance to Trigger a Socketed Bow Skill when you Attack with a Bow","当你使用弓箭攻击时，有 {0}% 的几率触发一个插槽内的弓类法术"
"Trigger a Socketed Bow Skill when you Attack with a Bow",当你使用弓箭攻击时触发一个插槽内的弓类法术
"Triggers Level {0} Abberath's Fury when Equipped","装备时施放 {0} 级的艾贝拉斯之怒"
"Trigger Level {0} Fire Burst on Kill","击败敌人时触发 {0} 级的火焰爆破"
"{0}% chance to Trigger Level {1} Arcane Wake after Spending a total of {2} Mana","消耗总计 {2} 魔力后有 {0}% 的几率触发 {1} 级的【秘术苏醒】"
"Trigger Level 20 Arcane Wake after Spending a total of 200 Mana","消耗总计 200 魔力后触发 20 级的【秘术苏醒】"
"Trigger Level {0} Bone Nova when you Kill a Bleeding Enemy","击败流血敌人时触发 {0} 级的【裂骨新星】"
"{0}% chance to Trigger Level {1} Animate Weapon on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的幻化武器"
"Triggers Level {0} Cold Aegis when Equipped","装备时触发 {0} 级的凝冰守护"
"Triggers Level {0} Elemental Aegis when Equipped","装备时触发 {0} 级的元素守护"
"Triggers Level {0} Fire Aegis when Equipped","装备时触发 {0} 级的烈焰守护"
"Triggers Level {0} Lightning Aegis when Equipped","装备时触发 {0} 级的主动技能闪电神盾"
"Trigger Level {0} Lightning Bolt when you deal a Critical Strike","暴击时触发 {0} 级的雷霆万钧"
"{0}% chance to Cast Level {1} Fire Burst on Hit","击中时有 {0}% 的几率施放 {1} 级的【火焰爆破】"
"{0}% chance to Trigger Level {1} Molten Burst on Melee Hit","近战击中有 {0}% 的几率触发 {1} 级的熔岩爆破"
"{0}% chance to Trigger Level {1} Raise Spiders on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的召唤毒蛛"
"{0}% chance to Trigger Level {1} Summon Raging Spirit on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的召唤愤怒狂灵"
"{0}% Chance to Trigger Level {1} Summon Spectral Wolf on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的召唤幽狼"
"{0}% chance to Trigger Commandment of Inferno on Critical Strike","暴击时有 {0}% 的几率触发炼狱之诫"
"Trigger Commandment of Inferno on Critical Strike",暴击时触发炼狱之诫
"Trigger Level {0} Contaminate when you Kill an Enemy","击败敌人时触发 {0} 级的玷污"
"Triggers Level {0} Death Walk when Equipped","装备时触发 {0} 级的泯灭之舞"
"{0}% chance to Trigger Level {1} Blood Rage when you Kill an Enemy","击败敌人时有 {0}% 的几率触发 {1} 级的狂野怒火"
"{0}% chance to Trigger Level {1} Animate Guardian's Weapon when Animated Guardian Kills an Enemy","当幻化守卫击败一个敌人时，有 {0}% 的几率触发 {1} 级的幻化守卫武器"
"{0}% chance to Trigger Level {1} Animate Guardian's Weapon when Animated Weapon Kills an Enemy","当幻化武器击败一个敌人时，有 {0}% 的几率触发 {1} 级的幻化守卫武器"
"{0}% chance to Trigger Level {1} Shade Form when you Use a Socketed Skill","当你使用物品上的技能时，有 {0}% 的几率触发 {1} 级的 暗影姿态"
"{0}% chance to Trigger Level {1} Tornado when you gain Avian's Might or Avian's Flight","你获得【鸟之力量】或【鸟之斗魄】时有 {0}% 几率触发 {1} 级的【鸟之龙卷】"
"Trigger Level 20 Tornado when you gain Avian's Might or Avian's Flight","你获得【鸟之力量】或【鸟之斗魄】时会触发 20 级的【鸟之龙卷】"
"Trigger Level {0} Feast of Flesh every {1} seconds","每 {1} 秒触发 {0} 级的血肉盛宴"
"Trigger Level {0} Bone Offering, Flesh Offering or Spirit Offering every {1} seconds","每 {1} 秒触发 {0} 级的装甲奉献、血肉奉献或灵魂奉献"
"Offering Skills Triggered this way also affect you",以此种方式触发的奉献技能也会影响你
"Trigger Level {0} Elemental Warding when you Hit an Enemy while Cursed","被诅咒时你击中一个敌人，触发 {0} 级的【元素守卫】"
"Trigger Level {0} Icicle Burst when you Kill a Frozen Enemy","你击败被冻结的敌人时触发 {0} 级的【爆环冰刺】"
"Trigger Level {0} Intimidating Cry when you lose Cat's Stealth","当你失去猫之隐匿时，触发 {0} 级的威吓战吼"
"Trigger Level {0} Rain of Arrows when you Attack with a Bow","当你使用弓箭攻击时触发 {0} 级的箭雨"
"Trigger Level {0} Fog of War when your Trap is triggered","你的陷阱触发后，随即触发 {0} 级的战争迷雾"
"Trigger Level {0} Spirit Burst when you Use a Skill while you have a Spirit Charge","在你有精神球时使用技能，触发 {0} 级的精神冲击"
"Trigger Level {0} Summon Phantasm Skill when you Consume a corpse","当你吞噬灵柩时触发 {0} 级的召唤幻灵技能"
"Consumes a Void Charge to Trigger Level {0} Void Shot when you fire Arrows","当你发射箭矢时，会消耗 1 个虚空之矢来触发 {0} 级的【虚空射击】"
"{0}% chance to Trigger Socketed Curse Skill when you cast a Curse Skill","你施放 1 个诅咒技能时，有 {0}% 的几率触发插槽中的诅咒技能"
"Trigger Socketed Curse Skill when you cast a Curse Skill","你施放 1 个诅咒技能时触发插槽中的诅咒技能"
"{0}% chance to Trigger Level {1} Glimpse of Eternity when Hit","被击中时有 {0}% 的几率触发 {1} 级的永恒窥视"
"{0}% chance to Trigger Level {1} Tentacle Whip on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的藤蔓抽击"
"{0}% chance to Trigger Level {1} Summon Volatile Anomaly on Kill","击败敌人时有 {0}% 的几率触发 {1} 级的召唤异动奇点"
"Trigger Level {0} Abyssal Cry on Hit","击中时触发 {0} 级的【深渊战吼】"
"Trigger a Socketed Lightning Spell on Hit",击中时触发插槽内的闪电法术
"Socketed Lightning Spells deal {0}% increased Spell Damage if Triggered","触发后，插槽内闪电法术的法术伤害提高 {0}%"
"{0}% chance to Trigger a Socketed Lightning Spell on Hit","击中时有 {0}% 的几率触发插槽内的闪电法术"
"Trigger a Socketed Cold Spell on Melee Critical Strike",近战暴击时触发插槽内的冰霜技能
"{0}% chance to Trigger this skill when you Kill a Frozen Enemy","你击败一个被冻结的敌人时，有 {0}% 几率触发此技能"
"Trigger this skill when you Kill a Frozen Enemy",你击败一个被冻结的敌人时，触发此技能
